,payment_type_id,payment_type,payment_type_name
779,779,2,Cash
780,780,1,Credit card
781,781,1,Credit card
782,782,1,Credit card
783,783,2,Cash
784,784,1,Credit card
785,785,2,Cash
786,786,2,Cash
787,787,1,Credit card
788,788,1,Credit card
789,789,1,Credit card
790,790,1,Credit card
791,791,2,Cash
792,792,1,Credit card
793,793,2,Cash
794,794,1,Credit card
795,795,1,Credit card
796,796,1,Credit card
797,797,1,Credit card
798,798,1,Credit card
799,799,1,Credit card
800,800,1,Credit card
801,801,1,Credit card
802,802,1,Credit card
803,803,1,Credit card
804,804,2,Cash
805,805,2,Cash
806,806,1,Credit card
807,807,1,Credit card
808,808,1,Credit card
809,809,1,Credit card
810,810,2,Cash
811,811,1,Credit card
812,812,2,Cash
813,813,1,Credit card
814,814,1,Credit card
815,815,2,Cash
816,816,2,Cash
817,817,2,Cash
818,818,1,Credit card
819,819,1,Credit card
820,820,1,Credit card
821,821,1,Credit card
822,822,2,Cash
823,823,1,Credit card
824,824,2,Cash
825,825,1,Credit card
826,826,2,Cash
827,827,1,Credit card
828,828,1,Credit card
829,829,1,Credit card
830,830,1,Credit card
831,831,1,Credit card
832,832,2,Cash
833,833,1,Credit card
834,834,1,Credit card
835,835,2,Cash
836,836,1,Credit card
837,837,1,Credit card
838,838,2,Cash
839,839,2,Cash
840,840,2,Cash
841,841,1,Credit card
842,842,2,Cash
843,843,1,Credit card
844,844,2,Cash
845,845,1,Credit card
846,846,1,Credit card
847,847,2,Cash
848,848,1,Credit card
849,849,1,Credit card
850,850,2,Cash
851,851,2,Cash
852,852,1,Credit card
853,853,1,Credit card
854,854,1,Credit card
855,855,1,Credit card
856,856,1,Credit card
857,857,2,Cash
858,858,1,Credit card
859,859,1,Credit card
860,860,2,Cash
861,861,1,Credit card
862,862,1,Credit card
863,863,1,Credit card
864,864,1,Credit card
865,865,1,Credit card
866,866,1,Credit card
867,867,2,Cash
868,868,1,Credit card
869,869,2,Cash
870,870,2,Cash
871,871,2,Cash
872,872,2,Cash
873,873,1,Credit card
874,874,1,Credit card
875,875,1,Credit card
876,876,1,Credit card
877,877,1,Credit card
878,878,1,Credit card
879,879,1,Credit card
880,880,1,Credit card
881,881,1,Credit card
882,882,1,Credit card
883,883,1,Credit card
884,884,1,Credit card
885,885,2,Cash
886,886,1,Credit card
887,887,1,Credit card
888,888,2,Cash
889,889,1,Credit card
890,890,1,Credit card
891,891,1,Credit card
892,892,1,Credit card
893,893,2,Cash
894,894,1,Credit card
895,895,1,Credit card
896,896,2,Cash
897,897,2,Cash
898,898,1,Credit card
899,899,2,Cash
900,900,1,Credit card
901,901,1,Credit card
902,902,1,Credit card
903,903,1,Credit card
904,904,1,Credit card
905,905,1,Credit card
906,906,1,Credit card
907,907,1,Credit card
908,908,1,Credit card
909,909,1,Credit card
910,910,1,Credit card
911,911,1,Credit card
912,912,1,Credit card
913,913,1,Credit card
914,914,2,Cash
915,915,2,Cash
916,916,2,Cash
917,917,1,Credit card
918,918,2,Cash
919,919,1,Credit card
920,920,1,Credit card
921,921,1,Credit card
922,922,1,Credit card
923,923,1,Credit card
924,924,1,Credit card
925,925,2,Cash
926,926,1,Credit card
927,927,1,Credit card
928,928,1,Credit card
929,929,2,Cash
930,930,1,Credit card
931,931,1,Credit card
932,932,1,Credit card
933,933,1,Credit card
934,934,1,Credit card
935,935,1,Credit card
936,936,1,Credit card
937,937,1,Credit card
938,938,2,Cash
939,939,1,Credit card
940,940,1,Credit card
941,941,1,Credit card
942,942,1,Credit card
943,943,2,Cash
944,944,2,Cash
945,945,1,Credit card
946,946,2,Cash
947,947,2,Cash
948,948,2,Cash
949,949,1,Credit card
950,950,2,Cash
951,951,1,Credit card
952,952,2,Cash
953,953,2,Cash
954,954,1,Credit card
955,955,2,Cash
956,956,1,Credit card
957,957,1,Credit card
958,958,2,Cash
959,959,1,Credit card
960,960,1,Credit card
961,961,1,Credit card
962,962,1,Credit card
963,963,1,Credit card
964,964,1,Credit card
965,965,1,Credit card
966,966,1,Credit card
967,967,1,Credit card
968,968,1,Credit card
969,969,1,Credit card
970,970,1,Credit card
971,971,1,Credit card
972,972,1,Credit card
973,973,1,Credit card
974,974,1,Credit card
975,975,2,Cash
976,976,1,Credit card
977,977,1,Credit card
978,978,1,Credit card
979,979,1,Credit card
980,980,1,Credit card
981,981,1,Credit card
982,982,1,Credit card
983,983,2,Cash
984,984,2,Cash
985,985,1,Credit card
986,986,1,Credit card
987,987,2,Cash
988,988,2,Cash
989,989,1,Credit card
990,990,1,Credit card
991,991,2,Cash
992,992,1,Credit card
993,993,2,Cash
994,994,1,Credit card
995,995,1,Credit card
996,996,1,Credit card
997,997,1,Credit card
998,998,1,Credit card
999,999,1,Credit card
1000,1000,1,Credit card
1001,1001,1,Credit card
1002,1002,1,Credit card
1003,1003,1,Credit card
1004,1004,1,Credit card
1005,1005,1,Credit card
1006,1006,1,Credit card
1007,1007,2,Cash
1008,1008,1,Credit card
1009,1009,2,Cash
1010,1010,1,Credit card
1011,1011,1,Credit card
1012,1012,2,Cash
1013,1013,2,Cash
1014,1014,1,Credit card
1015,1015,2,Cash
1016,1016,2,Cash
1017,1017,1,Credit card
1018,1018,1,Credit card
1019,1019,2,Cash
1020,1020,1,Credit card
1021,1021,2,Cash
1022,1022,1,Credit card
1023,1023,1,Credit card
1024,1024,2,Cash
1025,1025,2,Cash
1026,1026,2,Cash
1027,1027,2,Cash
1028,1028,2,Cash
1029,1029,1,Credit card
1030,1030,1,Credit card
1031,1031,1,Credit card
1032,1032,1,Credit card
1033,1033,1,Credit card
1034,1034,1,Credit card
1035,1035,2,Cash
1036,1036,1,Credit card
1037,1037,1,Credit card
1038,1038,1,Credit card
1039,1039,1,Credit card
1040,1040,2,Cash
1041,1041,1,Credit card
1042,1042,1,Credit card
1043,1043,1,Credit card
1044,1044,1,Credit card
1045,1045,1,Credit card
1046,1046,1,Credit card
1047,1047,1,Credit card
1048,1048,1,Credit card
1049,1049,1,Credit card
1050,1050,1,Credit card
1051,1051,1,Credit card
1052,1052,2,Cash
1053,1053,1,Credit card
1054,1054,1,Credit card
1055,1055,1,Credit card
1056,1056,1,Credit card
1057,1057,2,Cash
1058,1058,2,Cash
1059,1059,2,Cash
1060,1060,1,Credit card
1061,1061,2,Cash
1062,1062,2,Cash
1063,1063,1,Credit card
1064,1064,2,Cash
1065,1065,2,Cash
1066,1066,1,Credit card
1067,1067,1,Credit card
1068,1068,1,Credit card
1069,1069,2,Cash
1070,1070,1,Credit card
1071,1071,1,Credit card
1072,1072,1,Credit card
1073,1073,1,Credit card
1074,1074,1,Credit card
1075,1075,1,Credit card
1076,1076,1,Credit card
1077,1077,1,Credit card
1078,1078,1,Credit card
1079,1079,1,Credit card
1080,1080,1,Credit card
1081,1081,1,Credit card
1082,1082,1,Credit card
1083,1083,2,Cash
1084,1084,2,Cash
1085,1085,1,Credit card
1086,1086,1,Credit card
1087,1087,1,Credit card
1088,1088,1,Credit card
1089,1089,1,Credit card
1090,1090,2,Cash
1091,1091,1,Credit card
1092,1092,1,Credit card
1093,1093,2,Cash
1094,1094,1,Credit card
1095,1095,1,Credit card
1096,1096,1,Credit card
1097,1097,1,Credit card
1098,1098,1,Credit card
1099,1099,2,Cash
1100,1100,1,Credit card
1101,1101,1,Credit card
1102,1102,1,Credit card
1103,1103,2,Cash
1104,1104,1,Credit card
1105,1105,1,Credit card
1106,1106,1,Credit card
1107,1107,1,Credit card
1108,1108,1,Credit card
1109,1109,1,Credit card
1110,1110,1,Credit card
1111,1111,1,Credit card
1112,1112,1,Credit card
1113,1113,1,Credit card
1114,1114,2,Cash
1115,1115,2,Cash
1116,1116,1,Credit card
1117,1117,2,Cash
1118,1118,2,Cash
1119,1119,3,No charge
1120,1120,1,Credit card
1121,1121,1,Credit card
1122,1122,1,Credit card
1123,1123,1,Credit card
1124,1124,1,Credit card
1125,1125,1,Credit card
1126,1126,1,Credit card
1127,1127,1,Credit card
1128,1128,2,Cash
1129,1129,1,Credit card
1130,1130,2,Cash
1131,1131,1,Credit card
1132,1132,1,Credit card
1133,1133,1,Credit card
1134,1134,1,Credit card
1135,1135,2,Cash
1136,1136,1,Credit card
1137,1137,1,Credit card
1138,1138,1,Credit card
1139,1139,1,Credit card
1140,1140,1,Credit card
1141,1141,2,Cash
1142,1142,1,Credit card
1143,1143,1,Credit card
1144,1144,2,Cash
1145,1145,1,Credit card
1146,1146,1,Credit card
1147,1147,1,Credit card
1148,1148,1,Credit card
1149,1149,2,Cash
1150,1150,1,Credit card
1151,1151,1,Credit card
1152,1152,1,Credit card
1153,1153,1,Credit card
1154,1154,1,Credit card
1155,1155,1,Credit card
1156,1156,1,Credit card
1157,1157,1,Credit card
1158,1158,1,Credit card
1159,1159,1,Credit card
1160,1160,1,Credit card
1161,1161,2,Cash
1162,1162,1,Credit card
1163,1163,1,Credit card
1164,1164,1,Credit card
1165,1165,2,Cash
1166,1166,1,Credit card
1167,1167,1,Credit card
1168,1168,2,Cash
1169,1169,2,Cash
1170,1170,2,Cash
1171,1171,1,Credit card
1172,1172,1,Credit card
1173,1173,1,Credit card
1174,1174,1,Credit card
1175,1175,2,Cash
1176,1176,1,Credit card
1177,1177,1,Credit card
1178,1178,2,Cash
1179,1179,1,Credit card
1180,1180,1,Credit card
1181,1181,2,Cash
1182,1182,1,Credit card
1183,1183,2,Cash
1184,1184,1,Credit card
1185,1185,1,Credit card
1186,1186,1,Credit card
1187,1187,1,Credit card
1188,1188,2,Cash
1189,1189,1,Credit card
1190,1190,1,Credit card
1191,1191,2,Cash
1192,1192,1,Credit card
1193,1193,1,Credit card
1194,1194,1,Credit card
1195,1195,1,Credit card
1196,1196,1,Credit card
1197,1197,1,Credit card
1198,1198,1,Credit card
1199,1199,1,Credit card
1200,1200,1,Credit card
1201,1201,1,Credit card
1202,1202,2,Cash
1203,1203,2,Cash
1204,1204,1,Credit card
1205,1205,1,Credit card
1206,1206,1,Credit card
1207,1207,2,Cash
1208,1208,1,Credit card
1209,1209,1,Credit card
1210,1210,1,Credit card
1211,1211,1,Credit card
1212,1212,1,Credit card
1213,1213,1,Credit card
1214,1214,1,Credit card
1215,1215,1,Credit card
1216,1216,1,Credit card
1217,1217,1,Credit card
1218,1218,1,Credit card
1219,1219,1,Credit card
1220,1220,2,Cash
1221,1221,1,Credit card
1222,1222,1,Credit card
1223,1223,1,Credit card
1224,1224,1,Credit card
1225,1225,1,Credit card
1226,1226,1,Credit card
1227,1227,1,Credit card
1228,1228,1,Credit card
1229,1229,1,Credit card
1230,1230,1,Credit card
1231,1231,1,Credit card
1232,1232,2,Cash
1233,1233,2,Cash
1234,1234,1,Credit card
1235,1235,1,Credit card
1236,1236,1,Credit card
1237,1237,1,Credit card
1238,1238,1,Credit card
1239,1239,1,Credit card
1240,1240,1,Credit card
1241,1241,2,Cash
1242,1242,2,Cash
1243,1243,1,Credit card
1244,1244,1,Credit card
1245,1245,1,Credit card
1246,1246,1,Credit card
1247,1247,1,Credit card
1248,1248,1,Credit card
1249,1249,1,Credit card
1250,1250,1,Credit card
1251,1251,1,Credit card
